CERT,NAME,ASSET,DEP,NETINC,ROA,ROE,NTLNLSR,NPERFV,P3ASSET,P9ASSET,RBC1AAJ,RBCT1J,RBCRWAJ,LNATRES,ELNATR,NIMY,LNLSNET,LNCRCD,LNCONOTH,LNRENRES,EQ,LNLSGR,DRLNLS,CRLNLS
14,STATE STREET BANK&TRUST CO,348989000,266945000,2772000,0.8494192877012545,10.42,0.10711065277715505,0.05472951869543167,60000,0,6.091423778569931,19173000,16.065055152434642,173000,75000,1.1821211740178614,43201000,0,0,1756000,27504000,43374000,43000,0
35,AUBURNBANK,976852,896825,6609,0.6678024056649529,8.67,-0.0022940887685296194,0.051491935318758626,828,0,10.486415451006238,106288,15.807684110970118,6871,37,3.0796847917309234,557146,0,8583,235474,76853,564017,184,197
39,ROBERTSON BANKING CO,466500,412206,7963,1.6919427573886245,19.01,0.007181113297361159,0.11404072883172561,1807,0,9.670522101603295,45726,14.214842764442906,4728,0,3.975480147133656,321549,0,2199,143371,41709,326277,162,139
41,PHENIX-GIRARD BANK,309995,303329,2307,0.7931612788771558,118.08,0.01921185294479282,0.26000419361602606,85,95,12.016998597146161,40946,0,1210,33,2.609405690271659,75881,0,481,24842,-720,77091,38,23
49,BANK OF EVERGREEN,77436,68383,368,0.47933018816314943,5.3,0.1666213275299238,0.17821168448783511,259,0,12.853584208995612,10165,0,513,5,2.91322319792961,30922,0,1585,8867,7174,31435,113,64
50,COMMUNITY SPIRIT BANK,209453,192178,2848,1.3905421649686884,19.65,-0.08728669314363025,0.17521830673229793,137,0,9.485384893420267,20207,0,1765,184,4.220299977880247,131254,0,6745,26052,14507,133019,99,211
51,BANK OF VERNON,363582,302019,4507,1.3053718644429102,7.78,0.03624663823617594,0.6251684626851715,1508,54,17.806737819128195,64384,0,2637,443,4.086724389173514,234855,1448,4434,52241,59616,237492,499,418
52,CITIZENS BANK OF WINFIELD,270958,229551,-1845,-0.59150919804818,-7.29,0.5799678165400166,0.0974320743436252,1458,50,16.44232274221318,56727,0,1006,293,1.3123970160236265,89321,0,11128,13937,21701,90327,591,103
54,EXCHANGE BANK OF ALABAMA,382173,335004,3769,1.0077793399085433,8.87,0.15414802387205911,0.09079657641957961,364,33,14.202348415831562,56122,25.78248241254608,2553,150,3.510423611488823,204826,2241,3538,86745,43548,207379,333,23
58,UNITED BANK,1394003,1168170,23773,1.7762210969011432,13.92,0.4274363397225148,1.1762528488102248,4991,1084,14.463999344980632,204919,21.320389566634542,12383,4356,4.615191019957134,860875,2409,16311,161764,186268,873258,4109,503
70,PEOPLES EXCHANGE BANK,93855,83654,392,0.40449901970900837,4.06,0.1282785718553299,1.9306376857919132,854,138,12.26527001487796,12201,0,724,16,3.739416175671125,54795,0,2459,17750,9688,55519,92,19
72,CENTRAL STATE BANK,665959,601590,10091,1.595213253659616,18.05,0.14679362881226987,0.08619149226904359,6129,155,9.607958693606129,65538,0,5338,853,4.214115797592498,433583,598,3213,136218,59129,438921,744,147
77,BANKSOUTH,209643,168974,2629,1.275283749421538,6.67,0,0.017649051005757407,40,0,19.397389814971174,40204,0,2815,0,3.4965069672057925,161340,0,243,46010,39601,164155,0,0
81,WARREN BANK&TRUST CO,149533,116766,370,0.24330580251459835,2.07,0.11745360582569886,0.9088294891428648,697,0,14.635170942932852,22645,0,942,145,2.102877333296813,81404,0,6281,12056,18803,82346,93,2
88,GENERATIONS BANK,965242,832733,11149,1.20247946541704,12.07,0.07788566384547484,0.5764357539352826,9369,53,10.755859136190594,103802,14.438655527693687,6676,868,3.8328101729654804,657920,0,14037,216826,96552,664596,596,92
89,SIGNATURE BANK OF ARKANSAS,1289197,1096448,8321,0.6905605084039081,7.49,-0.0035999582404844105,0.02831219743762978,154,0,9.836013502621672,123866,12.75101361733497,12815,1380,3.3782663417061563,1064977,1095,4342,331426,118736,1077792,299,335
90,COMMERCIAL BANK&TRUST CO,360120,338721,1620,0.5102558271530434,10.22,0.38044814025888907,0.38098411640564256,2090,0,10.97076237360298,39579,0,2380,388,2.5635479716891663,222383,0,18829,58960,18121,224763,939,196
93,RIVERSIDE BANK,61937,53119,906,1.4889414053897707,16.29,-0.0018896304638664862,0.04843631431938906,5,4,8.52096988733794,5317,13.565448566964388,500,-2,4.097237832977408,50687,0,2258,1856,5599,51187,0,1
99,BANK OF DELIGHT,184236,149773,3795,2.144976685036032,15.69,-0.010663368131458002,0.6106298443300984,3548,0,13.103901821284737,24110,0,1177,150,4.413182468389014,154854,0,3778,39189,24110,156031,0,16
105,BANK OF CAVE CITY,191079,162098,2421,1.3035387766442033,26.16,-0.009478493298705239,0.92213168375384,2463,77,8.343007548562777,15595,21.69750613944082,843,-739,3.8047993164178395,130854,377,3656,12521,9232,131697,149,161
107,MERCHANTS&PLANTERS BANK,52513,49542,302,0.6111999352370929,10.15,-0.029145341991442923,0.1428217774646278,26,17,11.011771136314835,5641,0,133,0,3.237051792828685,18531,0,603,7005,2854,18664,8,13
109,HORATIO STATE BANK,306833,274345,1694,0.5660406359703788,5.41,0.5646497758756108,0.7603484631705195,9072,254,11.407095947197242,34617,0,4295,1814,3.3855140990552433,251000,0,33062,23787,31637,255295,1868,469
110,BANK OZK,38258852,31043072,716456,1.9596268553800655,13.21,0.20168439982547662,0.5221693531212072,25610,0,13.732106284848895,5115692,14.493049112820719,465547,175552,4.594306277886938,29503320,0,3647842,7842692,5705623,29968867,73021,15601
131,SEACOAST NATIONAL BANK,15167038,12248021,123858,0.8294447599352828,5.78,0.2679483737921487,0.6650144873376067,18091,1649,10.66182796218361,1555986,15.303043110620292,138055,17259,3.3226529700000915,10179172,0,119760,4675956,2181416,10317227,31862,4728
147,CENTURY BANK&TRUST,349465,313001,4580,1.2982146430675054,14.54,-0.0016193807488016582,0.11245761378106535,286,0,12.822251820135477,47076,0,2220,240,3.5660864488714945,186412,0,1527,88386,33818,188632,16,19
148,BANK OF MADISON,399131,358946,5413,1.3241258518877295,15.26,-0.030130299851265883,0.18865986355357012,771,0,10.454574527812456,44132,14.788775597845424,4422,383,4.0163716411359855,290883,0,2124,67877,36318,295305,17,105
149,BANK OF HAZLEHURST,133733,120876,2576,2.0804662311901945,22.21,-1.003616956797242,0.13160551247635213,733,40,13.73114413846781,18524,31.637436485821997,1972,0,4.770266559033296,48238,0,4253,9668,12488,50210,44,554
155,BANK OF ALAPAHA,238000,220657,1178,0.5131140271784913,7.68,0.045793340482645155,0.08529411764705883,2096,29,10.064477087834584,23617,19.57872205117069,2929,0,3.185375228741942,115730,0,6226,11900,15303,118659,70,15
160,EXCHANGE BANK,394772,326801,4504,1.166508766686333,11.32,0.14402660824494184,0.33791656956420413,1956,833,12.259670268737754,48863,0,3558,-19,3.7997132086949907,233789,0,1606,66971,41945,237347,331,9
169,FIRST NB OF GRIFFIN,360645,317347,5019,1.3719734713525706,21.25,0.35149276033303556,0.07486586532462672,142,90,10.081990497568691,36201,18.135941536304536,1570,315,4.526472529045509,143984,441,1334,52254,25425,145554,467,13
170,PEOPLES BANK OF GEORGIA,197399,179583,2312,1.270720661302379,14.97,0.1466885903567603,0.5162133546775819,2117,232,9.400020529665367,18315,0,1555,487,5.006100539726667,155361,0,9273,21343,16484,156916,274,59
172,UNITED BANK,2223345,1958565,59176,2.7340756587151342,25.32,0.20465592223074958,0.23954896788397662,6643,83,12.54903813902463,270874,26.35341097553066,16941,3256,5.3250160024724815,885221,3256,54187,258996,245497,902162,2772,980
175,COMMERCIAL BANK,432837,398331,11627,2.69916153507935,40.56,0.01663781623116027,0,173,0,10.413537145972352,43743,0,5331,360,4.699509501755475,294304,0,4751,99173,31302,299635,92,44
178,TALBOT STATE BANK,50785,44095,-686,-1.2352659423134407,-22.13,-0.0030649462101940113,1.3882051786944964,2643,290,9.800979308166166,4964,21.959416344067726,198,2,3.2757705869292804,31472,0,56,700,2588,31670,1,2
183,MERCHANTS&CITIZENS BANK,134754,121391,630,0.47609835133942335,5.14,-0.014556535156458493,0.07569348590765396,282,60,13.828044185712884,18314,24.550921089510027,957,-30,3.0527110345150064,43204,0,3178,6371,11369,44161,20,26
197,ALLIANCE BANK,427779,382673,8580,2.02899428097929,22.93,0.006724055232883918,0,568,0,11.880468610710523,52642,0,4587,219,4.106488593824221,282975,0,218,98726,37742,287562,26,8
210,TRI-COUNTY BANK&TRUST CO,291855,234114,805,0.2684974747895881,3.83,-0.002734058162530644,0,553,0,9.167732823793303,27588,0,2804,300,2.562087737914451,214622,0,499,114970,21067,217426,1,7
214,WASHINGTON STATE BANK,576639,511618,7048,1.2390183908442025,14.74,0.014166166558059388,0.6295099707095774,2435,678,12.791976752935444,71402,20.64918593194598,4466,700,3.182025760655046,318035,0,1805,29539,40223,322501,60,16
226,GUTHRIE COUNTY STATE BANK,272239,198473,1305,0.481974522198897,5.7,-0.010951079338379592,0.031222565466373295,261,0,11.754111964285068,32437,18.36162432846864,1774,218,2.3472037383948443,144500,95,3385,22014,23089,146274,2,17
228,AMERICAN STATE BANK,1484768,1245966,15512,1.0861042926185658,10.85,0.3127430480917672,1.5504779197827538,7097,1885,9.943124663560091,146292,12.187132026438496,13442,4365,2.6868815219298288,1306739,1469,12965,255976,147923,1320181,4404,403
230,COMMUNITY STATE BANK,328394,278840,4105,1.2428464423104288,16.53,0.08625972985624182,0.4199224102754618,1531,430,10.327335869126365,34020,0,2292,-5,3.040638713745676,163783,47,958,41023,23152,166075,157,14
231,COMMERCIAL SAVINGS BANK,318777,269063,2697,0.8942503383694735,13.76,0.011206229587852806,0.4137688729111574,1993,1264,7.84124156425431,24737,12.532719769727343,2171,184,2.4937175250593486,235948,0,2023,38225,22451,238119,41,16
232,SOLON STATE BANK,128272,92621,3215,2.539434294605973,12.83,0.11431614735754864,8.354902083073469,1615,3265,22.212086481260574,28489,0,461,200,4.746232198466226,79405,0,1036,32751,26014,79866,104,19
234,POCAHONTAS STATE BANK,119491,87438,1521,1.305942596911072,4.93,-0.005616368343901467,0.17323480429488414,528,0,24.96727721058276,29566,0,279,0,2.2754970260290666,37177,0,567,2769,31164,37456,0,2
235,SECURITY STATE BANK,433512,302494,8466,2.0842185805156825,21.11,0.004879995488715282,0.1520142464337781,1020,117,10.369092823486252,43528,0,4000,600,3.5149995437085706,391090,0,5552,21401,43596,395090,28,10
245,RACCOON VALLEY BANK,448959,404589,3498,0.7796730455125782,8.94,0.11450423406736876,1.2065689740043077,775,0,9.43392431765668,42217,12.975275930832597,4514,400,3.0196567772205403,334263,0,391,76009,40109,338777,398,0
248,STATE SAVINGS BANK,252663,189305,2057,0.8816444791139837,9.35,0.017755545488747783,0.2295547824572652,84,142,9.258129448629356,22307,10.939405909649302,4015,1225,3.794125704623345,223953,0,331,65488,22307,227968,37,0
251,FIRST SECURITY BANK,64205,54647,-47,-0.06586415168373996,-0.51,0,0,102,0,13.051844783715014,8207,17.6890560847845,524,0,3.3524060352582237,40063,0,836,2550,9199,40587,0,0
252,PINNACLE BANK,291448,246372,3239,1.0785959803901326,8.48,0.6152088209182202,0.15234278499080453,64,0,13.931236535975872,40418,17.54976424215992,2061,1310,3.2204542755237555,205409,0,2128,81350,35230,207470,1319,1
253,LUANA SAVINGS BANK,2087762,1785330,19275,0.9329790449276241,10.31,-0.0003058795805926013,0.0016285381188085614,537,0,10.367020226665208,216913,0,18128,360,1.7673318098872601,1633268,0,8460,261592,195951,1651396,1,6
254,FIRST WHITNEY BANK&TRUST,287939,257925,2928,1.036732479823019,12.64,0,0,0,0,10.85311353041227,31522,13.290079096233057,453,0,2.236753937337276,160320,0,2565,12647,24238,160773,0,0
258,STOCK YARDS BANK&TRUST CO,8860929,7168882,117684,1.4047116495242287,13.04,0.020167562132638272,0.25080891631114527,14204,487,9.648585908840424,828872,12.387253300934109,86943,9725,3.4433258461217005,6439745,3058,22848,2334831,940962,6526688,2776,1545
262,CITIZENS BANK,246317,219266,2279,1.0269734879516497,13.23,0.02063815342837746,0.8517479508113528,2510,27,7.175683141047711,17925,11.834316023774004,2066,0,3.6902303045362075,196209,0,6150,21441,17640,198275,63,25
267,KENTUCKY FARMERS BANK CORP,304359,259253,5350,1.8887108048379238,11.49,0.0037137307768010663,0.04764110803360505,1022,11,15.980814118218492,47378,27.34205340345118,1599,-76,4.419351618252091,153400,0,3552,42670,43825,154999,76,70
275,MORGANTOWN BANK&TRUST CO INC,387042,323003,2201,0.6222566004151393,9.26,0.022693799373197262,0.31262757013450737,342,0,8.252345508881287,30900,12.624939089196438,1920,494,3.1924403399310233,289954,0,5936,35074,27138,291874,90,30
281,HYDEN CITIZENS BANK,144822,134392,987,0.6800921121717883,13.99,-0.007418507692992477,0.19817431053293005,251,50,8.751249145321623,13311,12.702996931990967,808,0,3.387217342552794,82840,0,4073,12587,7321,83648,26,32
284,AUBURN BANKING CO,139356,120689,2348,1.7205750883003825,27.44,0.04640173851846983,0.08108728723556934,884,3,8.48588427104488,11867,12.178906596265392,773,144,4.203343751675503,106401,0,2117,15448,9184,107174,60,12
287,COMMUNITY FINL SERVICES BK,1449113,1311569,7675,0.5456931832078654,7.73,0.2236782917645645,0.39741552246098133,2646,0,9.651895789409314,145212,14.418429215314882,14970,1025,2.862891634622934,955784,0,290612,176900,102265,970754,2728,554
288,FARMERS&TRADERS BK CAMPTON,66104,56878,667,1.0005310164615102,20.58,-0.19189899811538,0.17245552462785912,194,0,9.099640554739002,6253,12.612305888138605,415,66,3.511688610066947,36600,0,1415,4803,3470,37015,45,112
289,BANK OF HINDMAN,258559,210772,495,0.1895224340959665,3.19,0.015295847177491311,0.8071658692986902,3536,961,9.146793891996973,24655,16.002441257247483,1487,-22,1.5747621534779477,118062,0,5994,39505,14974,119549,36,18
291,JACKSON COUNTY BANK,173672,114953,3379,2.0091759702791796,7.71,0.10952961039516146,0.1692846284950942,970,99,26.566855186611615,45941,0,1970,167,4.508597053679921,71938,0,6172,3736,44855,73908,130,48
292,MONTICELLO BANKING CO,1153231,926546,8497,0.720245152903545,10.04,-0.03820265470719198,0.0800360031945031,1987,63,9.622840050838661,114402,0,9577,-714,2.848684806686835,819486,1483,12059,233368,88999,829063,348,672
296,BANK OF EDMONSON COUNTY,280032,244031,3743,1.343346040628412,18.23,0.3225578944748218,1.1073734430350817,5514,0,10.085644937586686,29087,16.575264851458687,1923,755,3.5563740350255726,194566,0,3032,28945,20925,196489,677,55
297,LEWISBURG BANKING CO,198223,163456,2813,1.4990114943753763,18.96,0.019934247650825583,0.3364897110829722,478,0,9.875104760736699,19324,0,1661,59,4.004124747813637,135334,0,2933,15523,15571,136995,54,28
303,UNITED CUMBERLAND BANK,424425,367432,7228,1.7664666561089244,17.3,0.22461720609783234,1.2991694645697118,6925,0,11.638636176397895,49445,0,4244,1088,4.2496536895205566,300633,0,17404,66685,43679,304877,767,125
304,CLINTON BANK,68949,57999,427,0.619772933775738,4,0,0.008702084149153723,414,0,18.379085719216,12781,27.04506154002645,514,48,3.2683431943625663,41532,0,840,5059,10659,42046,1,1
306,BANK OF ZACHARY,394087,358138,1969,0.4890243950899864,5.7,0.035878633977995004,0.15960942634494416,767,0,11.917736530281061,49645,21.49430666042739,2690,0,3.363037943402954,254165,0,2363,61701,34539,256855,97,12
307,LANDMARK BANK,215672,197253,683,0.32984333648849656,3.91,0.26556068988138287,1.901962238955451,4968,245,9.874373364756636,19776,0,1495,132,4.073745317123696,147796,0,5776,32251,17742,149291,419,32
314,MER ROUGE STATE BANK,49957,45202,447,0.9137628632054066,9.75,-0.025832228288012123,0.35830814500470404,152,0,12.2812005035942,6048,0,254,82,4.510915930318394,22001,0,347,2809,4656,22255,0,6
321,HOLMES COUNTY BANK,145725,129054,1397,0.956593786591253,10.08,0.07080192838706771,0.6690684508492023,311,0,14.372560224166776,20876,28.76080539742779,1031,0,3.1932475958397073,56196,0,2656,3866,13967,57227,63,19
324,CITIZENS BANK,469274,408892,8516,1.8511087741599475,15.88,0.1817300303103263,0.3839974087633238,2783,546,13.389471504557632,62076,22.00044785647203,4477,946,4.8106816079676955,299089,0,11660,69647,55075,303566,855,304
327,MERCHANTS&PLANTERS BANK,233150,200414,2279,1.1104895704612698,7.05,-0.004132479012172217,0.2328972764314819,12,81,16.06696639735498,33628,0,2180,200,4.376432258146199,93701,0,1481,34416,32272,95881,21,25
340,PEOPLES BANK BILOXI MS,831396,720988,22124,2.620599207992472,27.97,0.017703755472357273,0.05027688369922395,1264,0,13.945206916708718,111647,0,2982,-162,3.0340173230473533,230594,0,3754,114252,89138,233576,269,227
342,FARMERS STATE BANK,725698,628691,3864,0.5322088264024061,9.91,-0.03055118177525867,0.4946961408189081,3827,1031,8.562683944020954,65578,14.114561777565065,6512,-140,3.320839774374213,461310,230,5479,179722,39367,467822,252,395
352,BANK OF BAKER,162495,145015,2675,1.7339099637272517,16.74,-0.007919895909939469,0.788331948675344,252,0,10.866265149458199,17609,0,1193,-356,4.118315659599521,83656,0,1083,17873,16744,84849,1,8
358,STOCKMENS BANK,43664,40210,-45,-0.10501211139684777,-1.1,-0.008150623522699487,0,3,0,7.9672138591830715,3509,19.536752047576815,236,0,3.4685125646619195,11221,0,400,2303,3219,11457,0,1
363,FIRST MONTANA BANK INC,565711,427508,5738,0.9989039562028141,12.62,0.06805213840757995,0.12144009927330386,1266,0,8.874537126410557,50568,15.240722406970217,3370,286,3.0302426824401865,333341,0,6404,133602,48092,336711,309,75
384,OHIO VALLEY BANK CO,1488169,1278465,11176,0.7925240643379772,7.92,0.11596719909331857,0.3256350589213994,9223,51,9.924246170542347,148509,0,9867,2409,3.622309086893585,1039429,6277,48221,220147,144207,1049296,2239,1067
389,PEOPLES BANK,56474,51178,90,0.15447090283093676,1.87,0.10417304981922913,0.3683110812055105,37,96,11.001902899739878,6302,23.46716241821887,262,55,3.5202868274770314,32341,270,308,5152,4971,32603,56,22
399,FIRST SUMMIT BANK,31037,26687,185,0.6369733779559008,4.43,0,0.5992847246834423,361,160,13.774014978834256,4230,0,216,1,5.877049047162608,17540,0,1302,5167,4290,17756,0,0
402,SOONER STATE BANK,304231,269215,5616,1.8326242356723441,17.26,0.0027208426340804043,0.010847020849288862,3,33,12.512059875454376,38517,0,2126,236,4.51330135527704,189587,0,1918,55960,33539,191713,6,1
